  release  -  production
2022-01-31 - 2025-04-23  🏷️ GL00001447229__3  - mbom 2022-02-10, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-01 - 2025-02-23  🏷️ GL00001365214__1  - mbom 2022-02-11, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-01 - 2025-02-23  🏷️ GL00001365214__2  - mbom 2022-02-11, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-01 - 2025-02-23  🏷️ GL00001365214__3  - mbom 2022-02-11, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-01 - 2025-03-25  🏷️ GL00001315212__1  - mbom 2022-02-11, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-01 - 2025-03-25  🏷️ GL00001315212__2  - mbom 2022-02-11, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-01 - 2025-03-25  🏷️ GL00001315212__3  - mbom 2022-02-11, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-02 - 2025-01-23  🏷️ GL00000825768__1  - mbom 2022-02-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-02 - 2025-01-23  🏷️ GL00000825768__2  - mbom 2022-02-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-02 - 2025-01-23  🏷️ GL00000825768__3  - mbom 2022-02-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-04 - 2025-04-23  🏷️ GL00001366999__1  - mbom 2022-02-14, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-04 - 2025-04-23  🏷️ GL00001366999__2  - mbom 2022-02-14, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-04 - 2025-04-23  🏷️ GL00001366999__3  - mbom 2022-02-14, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-07 - 2025-02-23  🏷️ GL00001358194__1  - mbom 2022-02-17, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-07 - 2025-02-23  🏷️ GL00001358194__2  - mbom 2022-02-17, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-07 - 2025-02-23  🏷️ GL00001358194__3  - mbom 2022-02-17, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-07 - 2025-03-25  🏷️ GL00001358202__1  - mbom 2022-02-17, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-07 - 2025-03-25  🏷️ GL00001358202__2  - mbom 2022-02-17, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-07 - 2025-03-25  🏷️ GL00001358202__3  - mbom 2022-02-17, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-07 - 2025-04-23  🏷️ GL00001358185__1  - mbom 2022-02-17, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-07 - 2025-04-23  🏷️ GL00001358185__2  - mbom 2022-02-17, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-07 - 2025-04-23  🏷️ GL00001358185__3  - mbom 2022-02-17, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001332796__1  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001332796__2  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001332796__3  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001378056__1  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001378056__2  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-02-23  🏷️ GL00001378056__3  - mbom 2022-02-18, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-08 - 2025-03-25  🏷️ GL00001331725__1  - mbom 2022-02-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-08 - 2025-03-25  🏷️ GL00001331725__2  - mbom 2022-02-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-08 - 2025-03-25  🏷️ GL00001331725__3  - mbom 2022-02-18, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-08 - 2025-04-23  🏷️ GL00001332759__1  - mbom 2022-02-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-08 - 2025-04-23  🏷️ GL00001332759__2  - mbom 2022-02-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-08 - 2025-04-23  🏷️ GL00001332759__3  - mbom 2022-02-18, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523122__1  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523122__2  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523122__3  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523127__1  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523127__2  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-15 - 2025-04-23  🏷️ GL00000523127__3  - mbom 2022-02-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-16 - 2025-03-25  🏷️ GL00001315253__1  - mbom 2022-02-26, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-16 - 2025-03-25  🏷️ GL00001315253__2  - mbom 2022-02-26, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-16 - 2025-03-25  🏷️ GL00001315253__3  - mbom 2022-02-26, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267020__1  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267020__2  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267020__3  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267294__1  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267294__2  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2022-02-22 - 2025-01-23  🏷️ GL00001267294__3  - mbom 2022-03-04, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
